Informe de alerta de HP SiteScope - Tabla
"Monitor","Tipo","Estado","Mensaje","Fecha","Grupo",
"IMSSEX10ED01 - Transport","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com hco-intel@kionetworks.com","16/04/22 06:33 PM","EXCHANGE 2010 (Correo Electronico): MS Exchange 2010: Edge Transport server role on IMSSEX10ED01: Performance",
"IMSSEX10ED01 - Transport","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com hco-intel@kionetworks.com","17/04/22 04:33 AM","EXCHANGE 2010 (Correo Electronico): MS Exchange 2010: Edge Transport server role on IMSSEX10ED01: Performance",
"IMSSEX10ED01 - Transport","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com hco-intel@kionetworks.com","17/04/22 02:33 PM","EXCHANGE 2010 (Correo Electronico): MS Exchange 2010: Edge Transport server role on IMSSEX10ED01: Performance",
"IMSSEX10ED01 - Transport","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com hco-intel@kionetworks.com","18/04/22 12:33 AM","EXCHANGE 2010 (Correo Electronico): MS Exchange 2010: Edge Transport server role on IMSSEX10ED01: Performance",
"IMSSEX10ED01 - Transport","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com hco-intel@kionetworks.com","18/04/22 10:33 AM","EXCHANGE 2010 (Correo Electronico): MS Exchange 2010: Edge Transport server role on IMSSEX10ED01: Performance",
"IMSSEX10ED01 - Transport","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com hco-intel@kionetworks.com","18/04/22 08:33 PM","EXCHANGE 2010 (Correo Electronico): MS Exchange 2010: Edge Transport server role on IMSSEX10ED01: Performance",
"IMSSEX10ED01 - Transport","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com hco-intel@kionetworks.com","19/04/22 06:33 AM","EXCHANGE 2010 (Correo Electronico): MS Exchange 2010: Edge Transport server role on IMSSEX10ED01: Performance",
"IMSSEX10ED01 - Transport","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com hco-intel@kionetworks.com","19/04/22 04:33 PM","EXCHANGE 2010 (Correo Electronico): MS Exchange 2010: Edge Transport server role on IMSSEX10ED01: Performance",
"IMSSEX10ED01 - Transport","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com hco-intel@kionetworks.com","20/04/22 02:33 AM","EXCHANGE 2010 (Correo Electronico): MS Exchange 2010: Edge Transport server role on IMSSEX10ED01: Performance",
"IMSSEX10ED01 - Transport","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com hco-intel@kionetworks.com","20/04/22 12:33 PM","EXCHANGE 2010 (Correo Electronico): MS Exchange 2010: Edge Transport server role on IMSSEX10ED01: Performance",
"IMSSEX10ED01 - Transport","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com hco-intel@kionetworks.com","20/04/22 10:33 PM","EXCHANGE 2010 (Correo Electronico): MS Exchange 2010: Edge Transport server role on IMSSEX10ED01: Performance",
"IMSSEX10ED01 - Transport","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com hco-intel@kionetworks.com","21/04/22 08:33 AM","EXCHANGE 2010 (Correo Electronico): MS Exchange 2010: Edge Transport server role on IMSSEX10ED01: Performance",
"IMSSEX10ED01 - Transport","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com hco-intel@kionetworks.com","21/04/22 06:33 PM","EXCHANGE 2010 (Correo Electronico): MS Exchange 2010: Edge Transport server role on IMSSEX10ED01: Performance",
"IMSSEX10HT03 - Transport","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com hco-intel@kionetworks.com","15/04/22 03:04 AM","EXCHANGE 2010 (Correo Electronico): MS Exchange 2010: Hub Transport server role on IMSSEX10HT03: Performance",
"IMSSEX10HT03 - Transport","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com hco-intel@kionetworks.com","15/04/22 01:04 PM","EXCHANGE 2010 (Correo Electronico): MS Exchange 2010: Hub Transport server role on IMSSEX10HT03: Performance",
"IMSSEX10HT03 - Transport","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com hco-intel@kionetworks.com","15/04/22 11:04 PM","EXCHANGE 2010 (Correo Electronico): MS Exchange 2010: Hub Transport server role on IMSSEX10HT03: Performance",
"IMSSEX10HT03 - Transport","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com hco-intel@kionetworks.com","16/04/22 09:04 AM","EXCHANGE 2010 (Correo Electronico): MS Exchange 2010: Hub Transport server role on IMSSEX10HT03: Performance",
"IMSSEX10HT03 - Transport","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com hco-intel@kionetworks.com","16/04/22 07:04 PM","EXCHANGE 2010 (Correo Electronico): MS Exchange 2010: Hub Transport server role on IMSSEX10HT03: Performance",
"IMSSEX10HT03 - Transport","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com hco-intel@kionetworks.com","17/04/22 05:04 AM","EXCHANGE 2010 (Correo Electronico): MS Exchange 2010: Hub Transport server role on IMSSEX10HT03: Performance",
"IMSSEX10HT03 - Transport","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com hco-intel@kionetworks.com","17/04/22 03:04 PM","EXCHANGE 2010 (Correo Electronico): MS Exchange 2010: Hub Transport server role on IMSSEX10HT03: Performance",
"IMSSEX10HT03 - Transport","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com hco-intel@kionetworks.com","18/04/22 01:04 AM","EXCHANGE 2010 (Correo Electronico): MS Exchange 2010: Hub Transport server role on IMSSEX10HT03: Performance",
"IMSSEX10HT03 - Transport","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com hco-intel@kionetworks.com","18/04/22 11:04 AM","EXCHANGE 2010 (Correo Electronico): MS Exchange 2010: Hub Transport server role on IMSSEX10HT03: Performance",
"IMSSEX10HT03 - Transport","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com hco-intel@kionetworks.com","18/04/22 09:04 PM","EXCHANGE 2010 (Correo Electronico): MS Exchange 2010: Hub Transport server role on IMSSEX10HT03: Performance",
"IMSSEX10HT03 - Transport","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com hco-intel@kionetworks.com","19/04/22 07:04 AM","EXCHANGE 2010 (Correo Electronico): MS Exchange 2010: Hub Transport server role on IMSSEX10HT03: Performance",
"IMSSEX10HT03 - Transport","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com hco-intel@kionetworks.com","19/04/22 05:04 PM","EXCHANGE 2010 (Correo Electronico): MS Exchange 2010: Hub Transport server role on IMSSEX10HT03: Performance",
"IMSSEX10HT03 - Transport","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com hco-intel@kionetworks.com","20/04/22 03:04 AM","EXCHANGE 2010 (Correo Electronico): MS Exchange 2010: Hub Transport server role on IMSSEX10HT03: Performance",
"IMSSEX10HT03 - Transport","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com hco-intel@kionetworks.com","20/04/22 01:04 PM","EXCHANGE 2010 (Correo Electronico): MS Exchange 2010: Hub Transport server role on IMSSEX10HT03: Performance",
"IMSSEX10HT03 - Transport","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com hco-intel@kionetworks.com","20/04/22 11:04 PM","EXCHANGE 2010 (Correo Electronico): MS Exchange 2010: Hub Transport server role on IMSSEX10HT03: Performance",
"IMSSEX10HT03 - Transport","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com hco-intel@kionetworks.com","21/04/22 09:04 AM","EXCHANGE 2010 (Correo Electronico): MS Exchange 2010: Hub Transport server role on IMSSEX10HT03: Performance",
"IMSSEX10HT03 - Transport","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com hco-intel@kionetworks.com","21/04/22 07:04 PM","EXCHANGE 2010 (Correo Electronico): MS Exchange 2010: Hub Transport server role on IMSSEX10HT03: Performance",
"IMSSEX16MB04 - MSExchangeNETLOGON:Events 5719","Mailto","Pass","hco-cmi@kionetworks.com francisco.diazpa@imss.gob.mx imss.monitoreo@imss.gob.mx omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com hco-intel@kionetworks.com","19/04/22 06:25 PM","EXCHANGE 2016 (Correo Electronico): Mailbox IMSSEX16MB04: Eventos",
"IMSSEX16MB17 - MSExchangeNETLOGON:Events 5719","Mailto","Pass","hco-cmi@kionetworks.com francisco.diazpa@imss.gob.mx imss.monitoreo@imss.gob.mx omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com hco-intel@kionetworks.com","19/04/22 06:45 PM","EXCHANGE 2016 (Correo Electronico): Mailbox IMSSEX16MB17: Eventos",
"Ping BKUP IMSSEX16MB19","Mailto","Pass","hco-cmi@kionetworks.com francisco.diazpa@imss.gob.mx imss.monitoreo@imss.gob.mx omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com hco-intel@kionetworks.com","16/04/22 06:06 AM","SERVIDORES 2016 (Correo Electronico): IMSSEX16MB19",
"RELAY SITESCOPE 5","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com spokeventms@kionetworks.com  spokgec@kionetworks.com","15/04/22 07:48 AM","Z_PRUEBAS: AUDIT AND CHECKLIST",
"RELAY SITESCOPE 5","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com spokeventms@kionetworks.com  spokgec@kionetworks.com","15/04/22 06:51 PM","Z_PRUEBAS: AUDIT AND CHECKLIST",
"RELAY SITESCOPE 5","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com spokeventms@kionetworks.com  spokgec@kionetworks.com","16/04/22 07:53 AM","Z_PRUEBAS: AUDIT AND CHECKLIST",
"RELAY SITESCOPE 5","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com spokeventms@kionetworks.com  spokgec@kionetworks.com","16/04/22 06:51 PM","Z_PRUEBAS: AUDIT AND CHECKLIST",
"RELAY SITESCOPE 5","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com spokeventms@kionetworks.com  spokgec@kionetworks.com","17/04/22 09:42 AM","Z_PRUEBAS: AUDIT AND CHECKLIST",
"RELAY SITESCOPE 5","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com spokeventms@kionetworks.com  spokgec@kionetworks.com","17/04/22 06:51 PM","Z_PRUEBAS: AUDIT AND CHECKLIST",
"RELAY SITESCOPE 5","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com spokeventms@kionetworks.com  spokgec@kionetworks.com","18/04/22 08:29 AM","Z_PRUEBAS: AUDIT AND CHECKLIST",
"RELAY SITESCOPE 5","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com spokeventms@kionetworks.com  spokgec@kionetworks.com","18/04/22 06:51 PM","Z_PRUEBAS: AUDIT AND CHECKLIST",
"RELAY SITESCOPE 5","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com spokeventms@kionetworks.com  spokgec@kionetworks.com","19/04/22 08:02 AM","Z_PRUEBAS: AUDIT AND CHECKLIST",
"RELAY SITESCOPE 5","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com spokeventms@kionetworks.com  spokgec@kionetworks.com","19/04/22 06:51 PM","Z_PRUEBAS: AUDIT AND CHECKLIST",
"RELAY SITESCOPE 5","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com spokeventms@kionetworks.com  spokgec@kionetworks.com","20/04/22 10:42 AM","Z_PRUEBAS: AUDIT AND CHECKLIST",
"RELAY SITESCOPE 5","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com spokeventms@kionetworks.com  spokgec@kionetworks.com","20/04/22 10:44 AM","Z_PRUEBAS: AUDIT AND CHECKLIST",
"RELAY SITESCOPE 5","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com spokeventms@kionetworks.com  spokgec@kionetworks.com","20/04/22 06:51 PM","Z_PRUEBAS: AUDIT AND CHECKLIST",
"RELAY SITESCOPE 5","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com spokeventms@kionetworks.com  spokgec@kionetworks.com","21/04/22 08:40 AM","Z_PRUEBAS: AUDIT AND CHECKLIST",
"RELAY SITESCOPE 5","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com spokeventms@kionetworks.com  spokgec@kionetworks.com","21/04/22 06:51 PM","Z_PRUEBAS: AUDIT AND CHECKLIST",
"Service: Microsoft Exchange MSExchangeEdgeSync Service on IMSSEX10HT04","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com hco-intel@kionetworks.com","19/04/22 02:45 PM","EXCHANGE 2010 (Correo Electronico): MS Exchange 2010: Hub Transport server role on IMSSEX10HT04: Services",
"Service: Microsoft Exchange W3Svc Service on IMSSEX10HT04","Mailto","Pass","omeza@kionetworks.com mvigueras@kionetworks.com iortega@kionetworks.com jceron@kionetworks.com smurillo@kionetworks.com hortizc@kionetworks.com asolano@kionetworks.com ecespedes@kionetworks.com hco-intel@kionetworks.com","19/04/22 02:45 PM","EXCHANGE 2010 (Correo Electronico): MS Exchange 2010: Hub Transport server role on IMSSEX10HT04: Services",
"UPDATE Monitor sis5 audit log prueba","Mailto","Pass","hp_sa@kionetworks.com nurzua@kionetworks.com","21/04/22 04:21 PM","Z_PRUEBAS: AUDIT SA-CMI",
"UPDATE Monitor sis5 audit log prueba","SNMPTrap","Pass","Prueba mensaje estado del monitor Update SiteScope/AUDIT SA-CMI/UPDATE Monitor sis5 audit log prueba/110972/matched: 2022-04-21 16:16:48 - User: GEC - Paul Alvarez. Operation performed: Monitor 'SiteScope\EXCHANGE 2016 (Correo Electronico)\Mailbox IMSSEX16MB06\Eventos\IMSSEX16MB06 - MSExchangeNETLOGON:Events 5719' update: '_disabledDescription' updated from 'CRQ000000135403 TAS000003760478 IMSS SILVIA BISTRAIN HCO-INTEL' to 'CRQ000000150265 TAS000004214727 IMSS Alexandro Gonzalez Morales HCO INTEL'./4:11 PM 4/21/22","21/04/22 04:21 PM","Z_PRUEBAS: AUDIT SA-CMI",
"UPDATE Monitor sis5 audit log prueba","Mailto","Pass","hp_sa@kionetworks.com nurzua@kionetworks.com","21/04/22 04:21 PM","Z_PRUEBAS: AUDIT SA-CMI",
"UPDATE Monitor sis5 audit log prueba","SNMPTrap","Pass","Prueba mensaje estado del monitor Update SiteScope/AUDIT SA-CMI/UPDATE Monitor sis5 audit log prueba/110972/matched: 2022-04-21 16:16:50 - User: GEC - Paul Alvarez. Operation performed: Monitor 'SiteScope\SERVIDORES 2016 (Correo Electronico)\IMSSEX16MB23\FileSystem IMSSEX16MB23\FileSystem IMSSEX16MB23' update: '_timedDisable' updated from '22:00:00 03/12/2022;23:00:00 03/12/2022' to '20:00:00 04/21/2022;02:00:00 04/22/2022'./4:11 PM 4/21/22","21/04/22 04:21 PM","Z_PRUEBAS: AUDIT SA-CMI",
"UPDATE Monitor sis5 audit log prueba","Mailto","Pass","hp_sa@kionetworks.com nurzua@kionetworks.com","21/04/22 04:21 PM","Z_PRUEBAS: AUDIT SA-CMI",
"UPDATE Monitor sis5 audit log prueba","SNMPTrap","Pass","Prueba mensaje estado del monitor Update SiteScope/AUDIT SA-CMI/UPDATE Monitor sis5 audit log prueba/110972/matched: 2022-04-21 16:16:50 - User: GEC - Paul Alvarez. Operation performed: Monitor 'SiteScope\SERVIDORES 2016 (Correo Electronico)\IMSSEX16MB23\FileSystem IMSSEX16MB23\FileSystem IMSSEX16MB23' update: '_disabledDescription' updated from 'WO0000010841814 IMSS SILVIA MARLENE BISTRAIN' to 'CRQ000000150265 TAS000004214727 IMSS Alexandro Gonzalez Morales HCO INTEL'./4:11 PM 4/21/22","21/04/22 04:21 PM","Z_PRUEBAS: AUDIT SA-CMI",
"UPDATE Monitor sis5 audit log prueba","Mailto","Pass","hp_sa@kionetworks.com nurzua@kionetworks.com","21/04/22 04:21 PM","Z_PRUEBAS: AUDIT SA-CMI",
